Location ID,Parent Location ID,Location Name,Location Type,Accessibility,Intersection,TTC Information,District,Street No,Street No Suffix,Street Name,Street Type,Street Direction,Postal Code,Description
799,799,NEILSON PARK CREATIVE CENTRE,Other,,Neilson Dr & Jeff Dr,,Etobicoke York,56,,NEILSON,DR,,,
800,800,ALBION ARENA,crc,Partially Accessible,Albion Rd & Kipling Ave,,Etobicoke York,1501,,ALBION,RD,,,
801,801,PINE POINT ARENA,crc,Partially Accessible,,Travel to Islington Station. Board the 37A Islington and travel to Allenby. Walk east on Allenby and then south to 15 Grierson Road.,Etobicoke York,15,,GRIERSON,RD,,M9W 3R2,This arena is located northeast of Islington Ave. and Highway 401 on Grierson Rd. This facility offers Learn to Skate Programs for all ages. We also offer both supervised skates including public skates and shinny hockey for various age groups.
802,802,MIMICO ARENA,crc,,,Travel to Royal York Rd. Board 76 Bus and exit the bus on Drummond St. Walk West on Drummond to Destination,Etobicoke York,31,,DRUMMOND,ST,,,"This arena is located just off of Royal York Rd., north of Lakeshore Blvd. This facility offers a wide variety of instructional skate programs including Hockey Skills and Learn to Skate programs for all ages as well as supervised public skates."
803,803,LONG BRANCH ARENA,crc,,,"Board the 501 Westbound Streetcar and travel to Twenty Ninth St. Turn right on Twenty Eight St, Walk South, Turn left at Arcadian Cir and walk South to destination.",Etobicoke York,75,,ARCADIAN,CIR,,M8W 2Z5,This arena is located south of Lakeshore Blvd. just east of 31st St. This facility offers a variety of Learn to Skate Programs for all ages. We also offer both supervised and unsupervised public skates.
804,804,WESTWAY OUTDOOR RINK,,,,Travel to Islington Station. Board the 37 Bus. Travel to West way Ave . Rink is right on the corner of the intersection.,Etobicoke York,175,,THE WESTWAY,,,,"The ice rink is located on The Westway just east of Islington Ave and north of Eglinton Ave. West. This single pad outdoor ice rink is equipped with a changehouse with a main change area, as well as three change rooms and washroom facilities.  This facility offers Learn to Skate Programs for Pre-school and School-aged children. As well as both supervised and unsupervised public skates and shinny hockey for all ages."
805,805,ROYALCREST RINK,,,,,Etobicoke York,50,,CABERNET,CIR,,,The rink is located on Cabernet Circ. just south of Steeles Ave. West. This is a single pad outdoor ice rink with a changehouse. It offers both unsupervised public skates and shinny hockey for all ages.
807,807,SUMMERLEA RINK,,,,,Etobicoke York,2,,ARCOT,BLVD,,,"The rink is located just off of Albion Rd., north west of Weston Rd. This is a single pad outdoor ice rink with no changehouse. It offers both unsupervised public skates and shinny hockey for all ages."
808,808,WEST MALL RINK,,,,Travel to Islington Station. Board the 50 Burnhamthorpe and travel to West Mall. Walk south to 370 The West Mall.,Etobicoke York,370,,THE WEST MALL,,,,This ice rink is located across the street from the Etobicoke Civic Centre on The West Mall. It is a double-padded ice rink with one leisure skate pad and one shinny pad. There is a changehouse with a main change area with three change rooms and washroom facilities. The rink offers supervised and unsupervised public skates and shinny hockey for all ages.
809,809,SUNNYDALE ACRES RINK,,,,"Travel to Kipling Station. Board the 45 Kipling Bus. Exit at West Humber BLVD, turn left at Amoro Dr and arrive at the destination.",Etobicoke York,50,,AMORO,DR,,,"This outdoor ice rink is located on Amoro Dr., north of Rexdale Blvd. and west of Kipling Ave. This newly renovated facility is a single pad outdoor ice rink with a changehouse and washrooms facilities. The rink offers supervised and unsupervised public skates and shinny hockey for all ages."
811,811,DIXON PARK,park,,Dixon Rd & Chetta Pl,,Etobicoke York,350,,DIXON,RD,,,"A 2 hectare park on Dixon Road near Kipling Avenue featuring three basketball courts, a tennis court, sports pad and a children's playground."
812,812,VALLEYFIELD PARK,park,,,,Etobicoke York,35,,THE WESTWAY,,,,"This community park is a popular spot for a game of Shinny Hockey on the Outdoor Artificial Ice Rink. There are benches for spectators and a building, usually open, for changing into your ice skates. A small parking lot is available for those who drive to the park. The park is west of Royal York Road on the south side of The Westway. In the summer, there is a tennis court for residents to use.  The Humber Creek Trail runs along the east side of the park. The trail connects to Alex Marchetti Park on the north end and leading towards Douglas B. Ford Park at the south end."
813,813,BUTTONWOOD PARK,park,,Mulham Pl & Lemonwood Dr,,Etobicoke York,30,,MULHAM,PL,,,"A 4.3 hectare park near Royal York Road and Eglinton Avenue West featuring three lit outdoor tennis courts, a children's playground and a large open green space. During the winter there is an outdoor artificial ice rink."
814,814,SIR ADAM BECK RINK,,,,Travel to Islington Station. Board the 110A Islington South and travel to the far side of Horner. Walk west to Orianna Drive and then north to number 10.,Etobicoke York,55,,ELTHAM,DR,,,This ice rink is located in the Horner/Browns Line area on Orianna Dr. next to Alderwood Centre. This is a single pad outdoor ice rink that is equipped with a changehouse and washrooms facilities. The rink offers supervised and unsupervised public skates and shinny hockey for all ages.
816,816,HUMBER VALLEY RINK,,,,Travel to Royal York Station. Board the 48 Bus. Exit at Pine Hurst Crescent,Etobicoke York,50,,ANGLESEY,BLVD,,,This ice rink is located in the quiet residential neighbourhood of Humber Valley Village on Anglesey Blvd. This is a single pad outdoor ice rink equipped with a changehouse and washroom facilities.  The rink offers both supervised and unsupervised skates including public skates and shinny hockey for various age groups.
817,817,QUEENSWAY RINK,,,,,Etobicoke York,8,,AVON PARK,DR,,,The rink is located on the north side of The Queensway just west of Royal York Rd. This is a single pad outdoor ice rink. It offers both unsupervised public skates and shinny hockey for all ages.
818,818,LAMBTON-KINGSWAY PARK OUTDOOR ICE RINK,,,,,Etobicoke York,37,,MARQUIS,AVE,,,The rink is located in a quiet residential neighbourhood just south of Dundas St.W. and Prince Edward Dr. This is a single pad outdoor ice rink with no changehouse. It offers both unsupervised public skates and shinny hockey for all ages.
819,819,PRINCE OF WALES RINK,,,,Board 501 Westbound Streetcar. Exit Lake Shore BLVD W at 3rd St. Turn left on Third Street and walk south to destination.,Etobicoke York,1,,THIRD,ST,,,"This ice rink is located in a quiet neighbourhood steps away from the lake. This is a single pad outdoor ice rink equipped with a changehouse, including two changerooms and washroom facilities.  The rink offers both supervised and unsupervised skates including public skates and shinny hockey for various age groups."
820,820,PARK LAWN BUBBLE RINK - INDOOR ICE PAD,,,,,Etobicoke York,340,,PARK LAWN,RD,,,
821,821,ISLINGTON SENIORS' CENTRE,crc,,,,Etobicoke York,4968,,DUNDAS,ST,W,M9A 1B7,"Islington Seniors' Centre is a non profit recreational centre offering a wide range of social, educational and support services to older adults in the community. Programs include a foot clinic, day trips, recreational activities, crafts and a lunchroom. The centre is open to individuals 55 years of age and older."
822,822,FAIRFIELD SENIORS' CENTRE,crc,Fully Accessible,Lothian Ave & Leland Ave,Travel to Islington Station.  Board the 110A Islington South and travel to Van Dusen.  Walk east on Van Dusen and the South on Lothian to number 80.,Etobicoke York,80,,LOTHIAN,AVE,,M8Z 4K5,"Fairfield Seniors' Centre offers a wide range of social, educational and support services to older adults in the community. Special events, older adult's clubs and weekly programs take place at is centre throughout the year."
823,823,HORNER AVENUE SENIORS' CENTRE,crc,Partially Accessible,Horner Ave & Fima Cres,Travel to Islington Station.  Board the 110A Islington South and travel to Fima Ctr.  Walk to 320 Horner Ave.,Etobicoke York,320,,HORNER,AVE,,M8W 2C2,"Horner Ave Seniors Centre is a smaller friendly centre where you can make new friends or renew old acquaintances. Learn something new or enjoy a familiar activity, we have something for every interest. We offer great food and excellent entertainment at our special events. We look forward to seeing you at the Centre."
824,824,CENTRAL ARENA,crc,,,Travel to Royal York Station. Walk north on Royal York Rd and then west on Wilgar Rd. Walk North West to 44 Montgomery Road.,Etobicoke York,50,,MONTGOMERY,RD,,M8X 1Z4,This arena is located just north of Bloor St. and east of Islington Ave. on a quiet residential street beside Memorial Health Club. This facility offers Learn to Skate Programs for all ages. We also offer both supervised and unsupervised public skates.
826,826,BEAUMONDE HEIGHTS PARK,park,,Waltham Dr & Harlow Cres,,Etobicoke York,17,A,WALTHAM,DR,,,"A 5.1 hectare park near Albion Road and Islington Avenue that features a ball diamond, three outdoor tennis courts and a children's playground."
827,803,BIRCH PARK,park,,Arcadian Cir & Birchlea Ave,,Etobicoke York,75,,ARCADIAN,CIR,,,"This 2 hectare park in south Etobicoke is adjacent to the Long Branch Arena. The park has a lighted ball diamond, tennis courts, a children's play ground and a wading pool."
828,828,CAYUGA PARK,park,,Cayuga Ave & Cripps Ave,,Etobicoke York,120,,CAYUGA,AVE,,,"A small park near Weston Road and Rogers Road featuring a children's playground.
"
829,829,CHARLES BRERETON PARK,park,,Oakwood Ave & Earlsdale Ave,,Etobicoke York,306,,OAKWOOD,AVE,,,"A small park on Oakwood Avenue near Rogers Road featuring a mature tree canopy and two bocce courts.
"
830,830,DENISON PARK,park,,Denison Rd W & Lippincott St W,,Etobicoke York,108,,DENISON,RD,W,,A small park near Weston Road and Lawrence Avenue West featuring a children's playground.
831,831,HARWOOD PARK,park,,Leigh St & McCormack St,,Etobicoke York,51,,LEIGH,ST,,,A 1.2 hectare park near Weston Road and St. Clair Avenue West that features a ball diamond and a children's playground.
832,832,HENRIETTA PARK,park,,Henrietta St & Blakley Ave,,Etobicoke York,1,A,HENRIETTA,ST,,,
833,833,LAUGHLIN PARK,park,,Atlas Ave & Durham Ave,,Toronto East York,420,,ATLAS,AVE,,,"A small park near Vaughan Road and Oakwood Avenue that features a children's playground. 
"
834,834,CHARLES CACCIA PARK,park,,Harvie Ave & Chudleigh Rd,,Etobicoke York,348,,Nairn,AVE,,,A small park near Dufferin Street and Eglinton Avenue West featuring a basketball court and a children's playground.
835,835,TRETHEWEY PARK EAST,park,,Trethewey Dr & Black Creek Dr,,Etobicoke York,121,,TRETHEWEY,DR,,,
836,836,WALTER SAUNDERS MEMORIAL PARK,park,,Hopewell Ave & Times Rd,,North York,440,,HOPEWELL,AVE,,,
837,837,TOM RILEY PARK,park,,Dundas St W & Islington Ave,,Etobicoke York,4725,,DUNDAS,ST,W,,"A 14.8 hectare park at Dundas Street West and Islington Avenue that follows Mimico Creek to Bloor Street West. The park features a lit ball diamond, a multipurpose sports field, six senior and five junior tennis courts, a children's playground and an allotment garden. Located at the south-east end of the park is the Memorial Pool & Health Club and Central Arena."
838,838,CONNORVALE PARK,park,,Rimilton Ave & Valermo Dr,,Etobicoke York,281,,RIMILTON,AVE,,,A 5 hectare park in South Etobicoke Connorvale park that features a lit ball diamond and a children's playground.
839,772,VIEWMOUNT COMMUNITY CENTRE,crc,Partially Accessible,Viewmount Ave & Shermount Ave,Travel to Glencairn Station.  Exit Station and walk east on Glencairn Ave and then south on Shermount Ave to Viewmount.  Walk to 169 Viewmount Ave.,North York,169,,VIEWMOUNT,AVE,,M6B 1T5,Welcome to Viewmount Community Centre. This community centre is city owned with a strong community base that offers preschool and tennis programs.
840,840,ERINGATE PARK,park,,Wellesworth Dr & Brancaster Crt,,Etobicoke York,121,,WELLESWORTH,DR,,,This 3.8 hectare park is located in the Renforth Road and Eglinton Avenue West neighbourhood. The park features three ball diamonds and a children's playground. The park is also home to the Eringate Outdoor Pool.
841,841,ESTHER LORRIE PARK,park,,Westhumber Blvd & Amoro Dr,,Etobicoke York,50,,WESTHUMBER,BLVD,,,This 3.5 hectare park on Westhumber Boulevard is located between Martingrove Road and Kipling Avenue. The park is situated on the south bank of the west branch of the Humber River and provides direct access to the West Humber Recreation Trail. The park features a multipurpose sports field and a ball diamond.
842,842,ETOBICOKE VALLEY PARK,park,,Horner Ave & Westhead Rd,,Etobicoke York,615,,HORNER,AVE,,,"This 19.6 hectare park runs along the east bank of the Etobicoke Creek from the QEW (The Queen Elizabeth Way) down to the CNR (Canadian National Railway) tracks. This park features four ball diamonds at the north end of the park, a children's playground near Horner Avenue and a trail that runs along the bank of the Etobicke Creek."
843,843,GIHON SPRING PARK,park,,Gihon Spring Dr & Kidron Valley Dr,,Etobicoke York,75,,GIHON SPRING,DR,,,"This 3.5 hectare park near Martingrove Road and Steeles Avenue West features a ball diamond, basketball court, two lit tennis courts and a children's playground. The Gihon Springs Outdoor Pool is located at the north end of the park."
844,844,HIGHFIELD PARK,park,,Stevenson Rd & Silverstone Dr,,Etobicoke York,68,,STEVENSON,RD,,,"A 3.3 hectare park near Finch Avenue West and Albion Road that features two children's playgrounds, a splash pad and an open green space. A tributary to the Humber River flows along the western edge of the park."
845,845,HUMBERTOWN PARK,park,,Wimbleton Rd & Dundas St W,,Etobicoke York,7,,WIMBLETON,RD,,,A small park near Royal York Road and Dundas Street West that features a multipurpose sports field and a children's playground.
847,818,LAMBTON-KINGSWAY PARK,park,,,,Etobicoke York,37,,MARQUIS,AVE,,,
848,848,LA ROSE PARK,park,,La Rose Ave & Arcade Dr,,Etobicoke York,65,,LA ROSE,AVE,,,A 1.9 hectare park near Eglinton Avenue West and Scarlett Road that features a multipurpose sports field and a children's playground.
849,849,MARTIN GROVE GARDENS PARK,park,,Lavington Dr & Feller Rd,,Etobicoke York,31,,LAVINGTON,DR,,,"A 3.7 hectare park near Martin Grove Road and Dixon Road that features two ball diamonds, three lit outdoor tennis courts and a children's playground."
850,750,MASSEYGROVE PARK,park,,Kendleton Dr & Warrendale Crt,,Etobicoke York,80,,KENDLETON,DR,,,"This 7.6 hectare park near Kipling Avenue and Albion Road features a multipurpose sports field, basketball court and a children's playground."
851,851,LEN BRAITHWAITE PARK,park,,Silverstone Dr & Midhurst Dr,,Etobicoke York,490,,SILVERSTONE,DR,,,"This park is 2 hectares in size and features four playgrounds with multiple play structures and a soccer field. It lies in the heart of a diverse, multicultural community and is popular with students of the near-by Melody Village Junior School. Formerly known as ""Melody Park"", this park was renamed in 2012 to honour <a href=""/wps/portal/contentonly?vgnextoid=bdc41076b6ed3410VgnVCM10000071d60f89RCRD"">Leonard ""Len"" Braithwaite</a>, Canada's first Black parliamentarian."
853,852,MILLWOOD PARK,park,,Mill Rd & Toledo Rd,,Etobicoke York,222,,MILL,RD,,,"This 4.2 hectare park on Bloor Street West near Mill Road in Etobicoke features two ball diamonds (one lit), three tennis courts, a gazebo and a children's playground."
854,854,MIMICO MEMORIAL PARK,park,,Hillside Ave & George St,,Etobicoke York,75,,HILLSIDE,AVE,,,"A 1.3 hectare park near Royal York Road and Lake Shore Boulevard West that features three lit outdoor tennis courts with a clubhouse, a ball diamond and a children's playground. The park is home to the Mimico Tennis Club."
855,799,NEILSON PARK - ETOBICOKE,park,,Neilson Dr & Jeff Dr,,Etobicoke York,56,,NEILSON,DR,,,"This 6.6 hectare park near Dundas Street West and Highway 427 features a ball diamond and children`s playground. The park follows the Etobicoke Creek ravine north to Bloor Street with a trail that crosses the creek. The south east corner of the park is home to the <a href=""http://www.toronto.ca/culture/neilson_park.htm"">Neilson Park Creative Centre</a>."
856,797,NORSEMAN HEIGHTS PARK,park,,Chartwell Rd & Badger Dr,,Etobicoke York,100,,CHARTWELL,RD,,,A 1.6 hectare park near Kipling Avenue and The Queensway that features two ball diamonds and a children's playground.
857,793,OURLAND PARK,park,,Ourland Ave & Merriday St,,Etobicoke York,18,,OURLAND,AVE,,,"This 3.4 hectare park near Evans Avenue and Islington Avenue features a lit ball diamond, multipurpose sport field, two lit tennis courts, two bocce courts, a basketball court and a children`s playground. Located within the park is the Ourland Community Centre and the Ourland Outdoor Pool."
858,820,PARK LAWN PARK,park,,,,Etobicoke York,330,,PARK LAWN,RD,,,"This 3.1 hectare park on Park Lawn Road north of Berry Road in Etobicoke features a lit ball diamond, a multipurpose sports field, four lit tennis courts and a children's playground. Located within the park is the Park Lawn Rink and the Park Lawn Outdoor Pool. For inquiries about Park Lawn Outdoor Pool, please call (416)394-8491."
859,801,PINE POINT PARK,park,,Conan Rd & Allenby Ave,,Etobicoke York,4,,CONAN,RD,,,"A sprawling 39 hectare park near Highway 401 and Islington Avenue that connects with the Humber River Recreational Trail. The park features seven lit  tennis courts, a multipurpose sports field and a children's playground. The parks wooded trails follow the banks of the Humber River and extend up to several surrounding neighbourhood streets. Additional amenities located in the park are the Pine Point Outdoor Pool and the Pine Point Arena."
860,860,PRINCESS MARGARET PARK,park,,Kipling Ave & Lesmar Dr,,Etobicoke York,1297,,KIPLING,AVE,,,
861,817,QUEENSWAY PARK,park,,Avon Park Dr & Clive St,,Etobicoke York,8,,AVON PARK,DR,,,"A 3.1 hectare park near Royal York Road and The Queensway that features two lit ball diamonds, lit tennis courts and a children's playground."
862,862,REXDALE PARK,park,,Drumheller Rd & Elmhurst Dr,,Etobicoke York,6,,DRUMHELLER,RD,,,
863,863,REXLINGTON PARK,park,,Bergamot Ave & Islington Ave,,Etobicoke York,30,,BERGAMOT,AVE,,,
864,864,RICHVIEW PARK,park,,Clement Rd & Brampton Rd,,Etobicoke York,59,,CLEMENT,RD,,,"A 10.9 hectare park near Martin Groove Road and Eglinton Avenue West featuring a lit ball diamond, seven multipurpose sports fields and a children's playground."
865,776,WILLOWDALE PARK,park,,Hollywood Ave & Gladys Allison Pl,,North York,75,,HOLLYWOOD,AVE,,,
866,664,IRVING W. CHAPLEY PARK - TENNIS COURT AREA,,,Wilmington Ave & Kennard Ave,,North York,205,,WILMINGTON,AVE,,,
867,867,ROTARY PEACE PARK,park,,Eleventh St & Lake Shore Dr,,Etobicoke York,25,,ELEVENTH,ST,,,"A 2.8 hectare park near Lake Shore Boulevard West and Islington Avenue featuring a lit ball diamond, two lit tennis courts, a splash pad, and a children's playground. A trail through the park ends at point over looking Lake Ontario. Located at the park is the Rotary Peace Park Outdoor Pool and the New Toronto Lawn Bowling Club.
<br><br>
<strong>Special Features</strong><br>
SCENIC VIEW - Great place to watch a sunrise."
868,814,SIR ADAM BECK JUNIOR SCHOOL,school,,,,Etobicoke York,544,,HORNER,AVE,,M8W 2C2,
869,869,SMITHFIELD PARK,park,,Mount Olive Dr & Dorward Dr,,Etobicoke York,173,,MOUNT OLIVE,DR,,,"A 4.5 hectare park on Martin Grove Road north of Albion Road featuring a lit ball diamond, two outdoor tennis courts, a volleyball court, a skateboard area and a children's playground. A tributary to the Humber River flows along the south boundary of the park and is followed by trails in the park. Located in the park is the Smithfield Park Outdoor Pool."
870,807,SUMMERLEA PARK,park,,Arcot Blvd & Albion Rd,,Etobicoke York,2,,ARCOT,BLVD,,,"A 23 hectare park Near Albion Road and Islington Avenue follows along the banks of the Humber River West branch as it joins the Humber River. In addition to the many trails and naturalized river valley, the park features a ball diamond, three multipurpose fields, a cricket pitch, two basketball courts, two tennis courts, a wading pool and a children's playground.
<br><br>
<strong>Special Features</strong><br>
WILDLIFE - Known as a good spot for <a href=""http://www1.toronto.ca/wps/portal/contentonly?vgnextoid=0187085e63957410VgnVCM10000071d60f89RCRD&vgnextchannel=5c98dada600f0410VgnVCM10000071d60f89RCRD"">fishing</a>."
871,809,SUNNYDALE ACRES PARK,park,,Amoro Dr & Waxham Rd,,Etobicoke York,50,,AMORO,DR,,,"A 3.4 hectare park near Westhumber Boulevard and Kipling Avenue featuring a lit ball diamond, four lit tennis courts, a wading pool and a children's playground."
872,872,WELLESWORTH PARK,park,,Dixfield Dr & Odessa Ave,,Etobicoke York,55,,DIXFIELD,DR,,,
873,815,WEST DEANE PARK,park,,Sedgebrook Cres & West Deane Park Dr,,Etobicoke York,19,,SEDGEBROOK,CRES,,,"A 54.8 hectare park near Martin Grove Road and Rathburn Road follows the Mimico Creek ravine from Eglinton Avenue West south to Rathburn Road. Many paths connect to the surrounding neighbourhoods as the trail follows the Creek. The park features two ball diamonds including one with lights, four tennis courts, three children's playgrounds, allotment gardens and a picnic area. Also located in the park are the West Deane Outdoor Pool and the West Deane Artificial Ice Rink."
874,804,WESTWAY PARK,park,,The Westway & Islington Ave,,Etobicoke York,175,,THE WESTWAY,,,,
875,875,JEFF HEALEY PARK,park,,Delroy Dr & Moynes Ave,,Etobicoke York,19,,DELROY,DR,,,"A 5.6 hectare park near The Queensway and Park Lawn Road that features a ball diamond, two lit outdoor tennis courts and a children's playground. Mimico Creek flows along the northern and eastern borders of the park."
876,806,WESTGROVE PARK,park,,Redgrave Dr & Martin Grove Rd,,Etobicoke York,15,,REDGRAVE,DR,,,"A 4 hectare park at Martin Grove Road and Redgrave Drive featuring a multipurpose sports field, three lit tennis courts and a children's playground. Located at the north end of the park is the Westgrove Outdoor Pool."
877,877,SILVER CREEK PARK,park,,,,Etobicoke York,44,,STRATHDEE,DR,,,"A 3.9 hectare park near Islington Avenue and Eglinton Avenue West featuring a ball diamond, a multipurpose sports field, three tennis courts and a children's playground. There is a parking lot located at the south west corner of the park beside the Richmond Gardens Outdoor Pool.

"
878,805,ROYAL CREST PARK,park,,Cabernet Cir & Cassis Dr,,Etobicoke York,50,,CABERNET,CIR,,,
879,879,BROADACRES PARK,park,,Wareside Rd & Ulverston Rd,,Etobicoke York,35,,Crendon,Dr,,,"A 5.7 hectare park near Burnhamthorpe Road and The West Mall featuring a ball diamond, a children's playground and a large open green space."
880,880,ELM PARK - YORK,park,,Elm St & Church St,,Etobicoke York,54,,ELM,ST,,,
881,881,WEST SCARBOROUGH NEIGHBOURHOOD CENTRE,crc,,,,Scarborough,313,,PHARMACY,AVE,,M1L 3E7,
882,704,MARYVALE PUBLIC SCHOOL,,,Pharmacy Ave & Dewey Dr,,Scarborough,1325,,PHARMACY,AVE,,,
883,883,PORT UNION COMMUNITY RECREATION CENTRE,crc,Fully Accessible,,Travel to Kennedy Station.  Board the 86D Scarborough and travel to Morningside.  Board the 54A Lawrence East and travel to Bridgeport.  Walk east to 5450 Lawrence Ave East.,Scarborough,5450,,LAWRENCE,AVE,E,M1C 3B2,"Port Union Community Recreation Centre is a small but vibrant recreation centre offering a wide range of activities for all, from tots to older adults. The Recreation Centre boasts a well equipped fitness centre, library, skateboard park, gymnatorium/hall and an older adult lounge to accommodate everyone's needs. A wide range of programs are offered from fitness classes to bingo, as well many community events such as Winterfest and a summer concert series are provided for our local residents."
884,884,KAY GARDNER BELTLINE PARK,park,,Mount Pleasant Rd & Merton St,"From University/Spadina Subway to Eglinton West Station,exit and take pathway on east side of Allen Road north to the start of the Kay Gardner Beltline. Or take the 74 Mount Pleasant Bus to Merton Stop and walk south to park entrance on west side.",Toronto East York,378,,MOUNT PLEASANT,RD,,,"The Kay Gardner Beltline Park and Trail are a unique part of Toronto's parks and ravines. The trail follows an old railway line from Allen Road south of Elm Ridge Drive west to Mount Pleasant Cemetery. It is a great way to see the city along old ravines and through hidden green spaces. The Park is part of the Central Ravines, Beltline and Gardens Discovery Walk."
885,885,RIVERLEA GREENHOUSE,,Partially Accessible,Scarlett Rd & Riverlea Dr,,Etobicoke York,919,,SCARLETT,RD,,,
886,815,WEST DEANE ALLOTMENTS,Other,,Sedgebrook Cres & West Deane Park Dr,,Etobicoke York,19,,SEDGEBROOK,CRES,,,
887,887,FAIRHAVEN PARK OUTDOOR POOL,,,,,Etobicoke York,100,,GOLFWOOD,HTS,,,
888,2006,WESTMOUNT PARK OUTDOOR POOL,,,,,Etobicoke York,22,,ARCADE,DR,,,
889,877,RICHMOND GARDENS POOL,,,,,Etobicoke York,44,,STRATHDEE,DR,,,
890,804,WESTWAY PARK - TENNIS COURT AREA,,,The Westway & Islington Ave,,Etobicoke York,175,,THE WESTWAY,,,,
891,824,MEMORIAL POOL AND HEALTH CLUB,crc,Fully Accessible,Montgomery Rd & Lynngrove Ave,travel to Royal York Station.  Walk north on Royal York Rd and then west on Wilgar Rd.  Walk north west to 44 Montgomery Road.,Etobicoke York,44,,MONTGOMERY,RD,,M8X 1Z4,"Memorial Pool and Health Club is a newer facility, located in a quiet residential neighbourhood, just off Montgomery Road. A wide variety of aquatic programming is offered weekdays, weeknights and weekends. This includes a vast learn to swim program, popular Aquafit classes, an extensive leadership program, and leisure and lane swimming opportunities for persons of all ages and abilities. We strive to meet the needs of the entire community and make every visit enjoyable for the whole family. Memorial Health Club is a City of Toronto Type B location which offers a variety of services to assist in personal Health and Wellness. Our co-ed Health Club is equipped with a variety of cardio and strength equipment. We offer a wide range of aerobic classes for those who enjoy a group setting led by a qualified fitness instructor."
892,892,ETOBICOKE OLYMPIUM,crc,Fully Accessible,,"Travel to Royal York Station.  Board the 48 Rathburn and travel to 590 Etob Olympium. 
Arrive at 590 Rathburn Road.",Etobicoke York,590,,RATHBURN,RD,,M9C 3T3,"The Etobicoke Olympium is a multi-use facility that focuses on meeting the sport and recreation needs of the community, as well as developing and promoting amateur competitive sports. The Olympium's programs and services range from multi-tank pool operations with dive towers, to gym activities and rentals. The Etobicoke Olympium has the ability to host national and international events in a range of sports. <br /><br />

As a 2015 Pan Am/Parapan Am Games aquatics training venue (for swimming, water polo, synchronized swimming and diving), the Etobicoke Olympium has undergone renovations. Improvements include: a new competition pool and upgraded dive tower, improved mechanical, electrical and filtration systems, improved lighting (in selected areas), audio systems and shower facilities, new bleachers and redesigned lobby and administrative areas.<br /><br />

The fitness centre has also been fully renovated and features a new mondo walking/jogging track, new sprung wood gym floor, fresh paint and new entry lighting, a new rubber floor for the weight room, accessible doors, updated change rooms and more!<br /><br />

The Olympium is home to many sports clubs (e.g. competitive swimming, synchronized swimming, water polo and diving) for youth as well as adults. The Patio Pool provides programming for the community through a large and varied learn to swim program, aquafit program, extensive leadership program and leisure/adult swimming."
893,893,ALBION POOL AND HEALTH CLUB,crc,Fully Accessible,Albion Rd & Kipling Ave,Travel to Wilson Station.  Board the 96A Wilson and travel to Weston Road Farside. Board the 73C Royal York Westbound on North side of Albion at Weston Road Farside and travel to Kipling.  Walk north west to 1485 Albion Rd.,Etobicoke York,1485,,ALBION,RD,,M9V 1B2,"Welcome to Albion Health Club and Pool! Come & Enjoy our multiple cardio machines, weight machines, free weights and fitness classes led by qualified instructors. We offer a wide variety of aquatic programming weekdays, weeknights and weekends including learn to swim, leadership, leisure and length swimming opportunities to persons of all ages and abilities. Our meeting room, large change facilities and spectator gallery make Albion Pool And Health Club a great venue for pool parties and small swim meets. Located at the south-west corner of Kipling Avenue and Albion Road."
894,843,GIHON SPRING PARK OUTDOOR POOL,,,,,Etobicoke York,75,,GIHON SPRING,DR,,,
895,869,SMITHFIELD PARK OUTDOOR POOL,,,,,Etobicoke York,175,,MOUNT OLIVE,DR,,,
896,896,GUS RYDER POOL AND HEALTH CLUB,crc,Fully Accessible,Faustina Dr & Twenty Second St,Travel to Kipling Station.  Board the 44 Kipling South and travel to Birmingham.  Walk west to 1 Faustina Drive,Etobicoke York,1,,FAUSTINA,DR,,M8V 3L9,"Gus Ryder Pool And Health Club is a City of Toronto Type B Club which offers 24 diverse fitness classes per week and a variety of cardio equipment for individual use. Our weight room offers a multiple range of free weights and an assortment of multipurpose strength machines. Body bars and stability balls are available for individual and class use. Our pool is a warm 25 yard pool with chair lift and stairs. We offer swimming lessons, Aquafit and arthritis Aquafit classes, public swims, family swims, and lane swims."
897,814,ALDERWOOD CENTRE,,Fully Accessible,Orianna Dr & Horner Ave,,Etobicoke York,2,,ORIANNA,DR,,M8W 4Y1,
898,898,FLAGSTAFF PARK OUTDOOR POOL,Outdoor pool,,,,Etobicoke York,42,,MERCURY,RD,,,
899,801,PINE POINT PARK OUTDOOR POOL,,Fully Accessible,,,Etobicoke York,15,,GRIERSON,RD,,,
900,806,WESTGROVE PARK OUTDOOR POOL,,,,,Etobicoke York,15,,REDGRAVE,DR,,,
901,840,ERINGATE PARK OUTDOOR POOL,Outdoor pool,,,Travel to Kipling Station.   Board the 112C West Mall and travel to Eringate. Walk north to 121 Wellesworth Drive.,Etobicoke York,121,,WELLESWORTH,DR,,,"Welcome to Eringate pool! This Outdoor Pool is located in a quiet neighbourhood, in a park setting. We offer a wide variety of aquatic programming including learn to swim, leisure, family and length swimming opportunities to persons of all ages and abilities. Eringate Pool is also home to a very popular children's recreational swim team and water polo program. We strive to meet the needs of the community and make every visit enjoyable for the whole family."
